OrgName,COUNTY_NAME,LEAName
Lothrop School,Rutland,Pittsford
Lowell Graded School,Orleans,Lowell
Ludlow Elementary School,Windsor,Ludlow
Lunenburg/Gilman Schools,Essex,Lunenburg
Lyman C. Hunt Middle School,Chittenden,Burlington
Lyndon Town School,Caledonia,Lyndon
Main Street Middle School,Washington,Montpelier
Malletts Bay School,Chittenden,Colchester
Manchester Elementary/Middle School,Bennington,Manchester
Marion W. Cross School,Windsor,Norwich
Marlboro Elementary School,Windham,Marlboro
Mettawee Community School US #47,Bennington,Union School District #47
Middlebury ID #4 School,Addison,Middlebury ID #4
Middlebury Senior UHS #3,Addison,Middlebury UHSD #3
Middlebury Union Middle School #3,Addison,Middlebury UHSD #3
Middletown Springs Elementary School,Rutland,Middletown Springs
Mill River US #40,Rutland,Mill River USD #40 (District)
Millers Run School US #37,Caledonia,Millers Run USD #37
Milton Elementary School,Chittenden,Milton ID
Milton High School,Chittenden,Milton ID
Milton Junior/Middle School,Chittenden,Milton ID
Missisquoi Valley UHS #7,Franklin,Missisquoi Valley UHSD #7 (District)
Molly Stark School,Bennington,Bennington ID
Monkton Central School,Addison,Monkton
Montgomery Center School,Franklin,Montgomery
Montpelier High School,Washington,Montpelier
Monument Elementary School,Bennington,Bennington ID
Moretown Elementary School,Washington,Moretown
Morristown Elementary Schools,Lamoille,Morristown
Mt. Abraham UHS #28,Addison,Mt Abraham UHSD #28 (District)
Mt. Anthony Senior UHS #14,Bennington,Mt Anthony UHSD #14
Mt. Anthony Union Middle School,Bennington,Mt Anthony UHSD #14
Mt. Holly School,Rutland,Mt Holly
Mt. Mansfield US #17,Chittenden,Mt Mansfield USD #17 (District)
Neshobe School,Rutland,Brandon
Newark School,Caledonia,Newark
Newbrook Elementary School,Windham,Brookline/Newfane Joint Contract
Newbury Elementary School,Orange,Newbury
Newport City Elementary Schools,Orleans,Newport City
Newport Town School,Orleans,Newport Town
Newton School,Orange,Strafford
North Bennington Graded School,Bennington,North Bennington ID
North Country UHS #22A,Orleans,North Country Sr UHSD #22 (District)
North Country Union Junior UHS #22B,Orleans,North Country Jr UHSD #22 (District)
North Hero School,Grand Isle,North Hero
Northeast Primary School,Rutland,Rutland City
Northfield Elementary School,Washington,Northfield
Northfield Middle/High School,Washington,Northfield
Northwest Primary School,Rutland,Rutland City
Oak Grove School,Windham,Brattleboro
Orange Center School,Orange,Orange
Orchard School,Chittenden,South Burlington
Orleans Elementary School,Orleans,Orleans ID
Orwell Village School,Addison,Orwell
Ottauquechee School,Windsor,Hartford
Otter Valley UHS #8,Rutland,Otter Valley UHSD #8 (District)
Oxbow UHS #30,Orange,Oxbow UHSD #30 (District)
Peacham Elementary School,Caledonia,Peacham
Peoples Academy,Lamoille,Morristown
Peoples Academy Middle School,Lamoille,Morristown
Pomfret School,Windsor,Pomfret
Porters Point School,Chittenden,Colchester
Poultney Elementary School,Rutland,Poultney
Poultney High School,Rutland,Poultney
Pownal Elementary School,Bennington,Pownal
Proctor Elementary School,Rutland,Proctor
Proctor Junior/Senior High School,Rutland,Proctor
Putney Central School,Windham,Putney
Randolph Elementary School,Orange,Randolph
Randolph UHS #2,Orange,Randolph UHSD #2 (District)
Reading Elementary School,Windsor,Reading
Readsboro Elementary School,Bennington,Readsboro
Richford Elementary School,Franklin,Richford
Richford Junior/Senior High School,Franklin,Richford
Richmond Elementary School,Chittenden,Richmond
Rick Marcotte Central School,Chittenden,South Burlington
Ripton Elementary School,Addison,Ripton
Rivendell Academy,Out-of-State,Rivendell Interstate School District
Riverside Middle School,Windsor,Springfield
Robinson School,Addison,Starksboro
Rochester School,Windsor,Rochester
Roxbury Village School,Washington,Roxbury
Rumney Memorial School,Washington,Middlesex
Rutland High School,Rutland,Rutland City
Rutland Intermediate School,Rutland,Rutland City
Rutland Middle School,Rutland,Rutland City
Rutland Town Elementary School,Rutland,Rutland Town
Salisbury Community School,Addison,Salisbury
Samuel Morey Elementary School,Orange,Rivendell Interstate School District
Saxtons River Elementary School,Windham,Rockingham
Shaftsbury Elementary School,Bennington,Shaftsbury
Sharon Elementary School,Windsor,Sharon
Shelburne Community School,Chittenden,Shelburne
Sheldon Elementary School,Franklin,Sheldon
Shoreham Elementary School,Addison,Shoreham
Shrewsbury Mountain School,Rutland,Shrewsbury
Smilie Memorial School,Chittenden,Bolton
South Burlington High School,Chittenden,South Burlington
South Royalton Elem/High School,Windsor,Royalton
Spaulding UHS #41,Washington,Spaulding HSUD #41 (District)
Springfield High School,Windsor,Springfield
St Albans City School,Franklin,St Albans City
St. Albans Town Education Center,Franklin,St Albans Town
St. Johnsbury Schools,Caledonia,St Johnsbury
Stamford Elementary School,Bennington,Stamford
Stockbridge Central School,Windsor,Stockbridge
Stowe Elementary School,Lamoille,Stowe
Stowe Middle/High School,Lamoille,Stowe
Sudbury Country School,Rutland,Sudbury
Summit Street School,Chittenden,Essex Junction ID
Sunderland Elementary School,Bennington,Sunderland
Sustainability Academy At Barnes,Chittenden,Burlington
Sutton School,Caledonia,Sutton
Swanton Schools,Franklin,Swanton
Thatcher Brook Primary US #45,Washington,Duxbury/Waterbury Union #45
Thetford Elementary School,Orange,Thetford
Thomas Fleming School,Chittenden,Essex Junction ID
Tinmouth Elementary School,Rutland,Tinmouth
Townshend Village School,Windham,Townshend
Troy School,Orleans,Troy
Tunbridge Central School,Orange,Tunbridge
Twin Valley High School,Windham,Whitingham/ Wilmington Joint Contract District
Twin Valley Middle School,Windham,Whitingham/ Wilmington Joint Contract District
Twinfield US #33,Washington,Twinfield USD #33 (District)
U32 UHS #32,Washington,U32 High School (UHSD #32) (District)
Underhill Central School,Chittenden,Underhill Town
Underhill ID School,Chittenden,Underhill ID
Union Elementary School,Washington,Montpelier
Union Memorial School,Chittenden,Colchester
Union Street School,Windsor,Springfield
Vergennes UES #44,Addison,Vergennes UESD #44 (District)
Vergennes UHS #5,Addison,Vergennes UHSD #5 (District)
Vernon Elementary School,Windham,Vernon
Waits River Valley USD #36,Orange,Waits River Valley USD #36 (District)
Waitsfield Elementary School,Washington,Waitsfield
Walden School,Caledonia,Walden
Wallingford Village School,Rutland,Wallingford
Wardsboro Central School,Windham,Wardsboro
Warren Elementary School,Washington,Warren
Washington Village School,Orange,Washington
Waterford Elementary School,Caledonia,Waterford
Waterville Elementary School,Lamoille,Waterville
Weathersfield School,Windsor,Weathersfield
Wells Village School,Rutland,Wells
West Rutland School,Rutland,West Rutland
