OrgName,COUNTY_NAME
Richford Elementary School,Franklin
Richford Junior/Senior High School,Franklin
Richmond Elementary School,Chittenden
Rick Marcotte Central School,Chittenden
Ripton Elementary School,Addison
Rivendell Academy,Out-of-State
Riverside Middle School,Windsor
Robinson School,Addison
Rochester School,Windsor
Roxbury Village School,Washington
Rumney Memorial School,Washington
Rutland High School,Rutland
Rutland Intermediate School,Rutland
Rutland Middle School,Rutland
Rutland Town Elementary School,Rutland
Salisbury Community School,Addison
Samuel Morey Elementary School,Orange
Saxtons River Elementary School,Windham
Shaftsbury Elementary School,Bennington
Sharon Elementary School,Windsor
Shelburne Community School,Chittenden
Sheldon Elementary School,Franklin
Shoreham Elementary School,Addison
Shrewsbury Mountain School,Rutland
Smilie Memorial School,Chittenden
South Burlington High School,Chittenden
South Royalton Elem/High School,Windsor
Spaulding UHS #41,Washington
Springfield High School,Windsor
St Albans City School,Franklin
St. Albans Town Education Center,Franklin
St. Johnsbury Schools,Caledonia
Stamford Elementary School,Bennington
Stockbridge Central School,Windsor
Stowe Elementary School,Lamoille
Stowe Middle/High School,Lamoille
Sudbury Country School,Rutland
Summit Street School,Chittenden
Sunderland Elementary School,Bennington
Sustainability Academy At Barnes,Chittenden
Sutton School,Caledonia
Swanton Schools,Franklin
Thatcher Brook Primary US #45,Washington
Thetford Elementary School,Orange
Thomas Fleming School,Chittenden
Tinmouth Elementary School,Rutland
Townshend Village School,Windham
Troy School,Orleans
Tunbridge Central School,Orange
Twin Valley High School,Windham
Twin Valley Middle School,Windham
Twinfield US #33,Washington
U32 UHS #32,Washington
Underhill Central School,Chittenden
Underhill ID School,Chittenden
Union Elementary School,Washington
Union Memorial School,Chittenden
Union Street School,Windsor
Vergennes UES #44,Addison
Vergennes UHS #5,Addison
Vernon Elementary School,Windham
Waits River Valley USD #36,Orange
Waitsfield Elementary School,Washington
Walden School,Caledonia
Wallingford Village School,Rutland
Wardsboro Central School,Windham
Warren Elementary School,Washington
Washington Village School,Orange
Waterford Elementary School,Caledonia
Waterville Elementary School,Lamoille
Weathersfield School,Windsor
Wells Village School,Rutland
West Rutland School,Rutland
Westford Elementary School,Chittenden
Westminster Schools,Windham
Westshire School,Orange
Weybridge Elementary School,Addison
Whitcomb Jr/Sr High School,Windsor
White River School,Windsor
Whiting Village School,Addison
Whitingham Elementary School,Windham
Williamstown Elementary School,Orange
Williamstown Middle/High School,Orange
Williston Schools,Chittenden
Windham Elementary School,Windham
Windsor High School,Windsor
Windsor State Street School,Windsor
Winooski High School,Chittenden
Winooski Middle School,Chittenden
Wolcott Elementary School,Lamoille
Woodbury Elementary School,Washington
Woodford Hollow School,Bennington
Woodstock Elementary School,Windsor
Woodstock Senior UHS #4,Windsor
Woodstock Union Middle School,Windsor
